respondent_id,education_level,study_hours_per_day,preferred_learning_method,main_learning_challenge,motivation_level,online_learning_opinion,device_used_for_study
35,Undergraduate,6,Reading notes,Difficulty understanding concepts,Medium,Online learning is flexible and convenient,Tablet
36,Postgraduate,3,Reading notes,Time management difficulty,Medium,Online platforms provide access to diverse resources,Tablet
37,Postgraduate,5,Video lectures,Difficulty understanding concepts,High,Online learning is flexible and convenient,Tablet
38,Undergraduate,4,Practice exercises,Difficulty understanding concepts,Low,Blended learning is more effective than fully online,Tablet
39,Graduate,3,Recorded tutorials,Internet connectivity issues,Low,Online learning is effective for theory-based subjects,Tablet
40,Undergraduate,4,Interactive discussion,Low motivation,High,Online learning requires strong self-discipline,Tablet
41,Graduate,4,Practice exercises,Difficulty understanding concepts,High,Online learning requires strong self-discipline,Tablet
42,Graduate,1,Recorded tutorials,Academic workload pressure,Medium,Online learning is flexible and convenient,Tablet
43,Graduate,3,Interactive discussion,Difficulty understanding concepts,Medium,Blended learning is more effective than fully online,Tablet
44,Graduate,6,Practice exercises,Time management difficulty,Low,Blended learning is more effective than fully online,Mobile
45,Undergraduate,4,Recorded tutorials,Low motivation,Low,Online platforms provide access to diverse resources,Tablet
46,Postgraduate,1,Video lectures,Academic workload pressure,Medium,Online learning requires strong self-discipline,Laptop
47,Postgraduate,2,Practice exercises,Internet connectivity issues,Low,Online learning is flexible and convenient,Tablet
48,Graduate,1,Interactive discussion,Academic workload pressure,High,Online learning requires strong self-discipline,Tablet
49,Graduate,6,Interactive discussion,Internet connectivity issues,Medium,Online platforms provide access to diverse resources,Mobile
50,Postgraduate,4,Video lectures,Difficulty understanding concepts,Low,Online learning is effective for theory-based subjects,Mobile
51,Graduate,2,Practice exercises,Low motivation,Medium,Online platforms provide access to diverse resources,Mobile
52,Graduate,5,Practice exercises,Difficulty understanding concepts,High,Online platforms provide access to diverse resources,Mobile
53,Graduate,1,Practice exercises,Academic workload pressure,Medium,Online learning is effective for theory-based subjects,Laptop
54,Undergraduate,1,Practice exercises,Low motivation,Medium,Online platforms provide access to diverse resources,Laptop
55,Postgraduate,1,Practice exercises,Low motivation,Medium,Online learning requires strong self-discipline,Laptop
56,Undergraduate,4,Reading notes,Academic workload pressure,High,Online learning requires strong self-discipline,Tablet
57,Undergraduate,3,Video lectures,Internet connectivity issues,Low,Online platforms provide access to diverse resources,Laptop
58,Undergraduate,2,Practice exercises,Lack of concentration,High,Blended learning is more effective than fully online,Laptop
59,Graduate,3,Reading notes,Lack of concentration,Low,Online platforms provide access to diverse resources,Mobile
60,Postgraduate,5,Reading notes,Lack of concentration,Low,Blended learning is more effective than fully online,Mobile
61,Graduate,6,Reading notes,Lack of concentration,Low,Online learning is effective for theory-based subjects,Tablet
62,Postgraduate,6,Reading notes,Time management difficulty,Low,Online learning is flexible and convenient,Tablet
63,Postgraduate,3,Video lectures,Lack of concentration,High,Online learning is effective for theory-based subjects,Mobile
64,Undergraduate,4,Reading notes,Time management difficulty,Medium,Online learning is effective for theory-based subjects,Mobile
65,Postgraduate,4,Reading notes,Internet connectivity issues,High,Online platforms provide access to diverse resources,Laptop
66,Graduate,6,Practice exercises,Difficulty understanding concepts,Medium,Online learning is effective for theory-based subjects,Tablet
67,Postgraduate,2,Video lectures,Academic workload pressure,Medium,Online platforms provide access to diverse resources,Laptop
68,Undergraduate,3,Video lectures,Internet connectivity issues,High,Blended learning is more effective than fully online,Tablet
69,Postgraduate,5,Interactive discussion,Academic workload pressure,Medium,Blended learning is more effective than fully online,Tablet
70,Graduate,1,Practice exercises,Time management difficulty,High,Online platforms provide access to diverse resources,Laptop
71,Undergraduate,2,Recorded tutorials,Low motivation,Medium,Blended learning is more effective than fully online,Tablet
72,Undergraduate,2,Reading notes,Low motivation,Low,Online learning is effective for theory-based subjects,Mobile
73,Undergraduate,2,Video lectures,Difficulty understanding concepts,High,Online learning is effective for theory-based subjects,Mobile
74,Graduate,4,Interactive discussion,Lack of concentration,Low,Online platforms provide access to diverse resources,Mobile
75,Graduate,1,Interactive discussion,Lack of concentration,Medium,Online learning is flexible and convenient,Laptop
76,Postgraduate,3,Recorded tutorials,Internet connectivity issues,High,Online learning requires strong self-discipline,Laptop
77,Postgraduate,2,Interactive discussion,Difficulty understanding concepts,Medium,Online learning requires strong self-discipline,Laptop
78,Graduate,3,Practice exercises,Academic workload pressure,Medium,Online platforms provide access to diverse resources,Mobile
79,Undergraduate,5,Practice exercises,Internet connectivity issues,Low,Online learning is flexible and convenient,Mobile
80,Undergraduate,5,Reading notes,Lack of concentration,High,Online learning requires strong self-discipline,Laptop
81,Undergraduate,5,Recorded tutorials,Academic workload pressure,Medium,Blended learning is more effective than fully online,Tablet
82,Undergraduate,1,Interactive discussion,Internet connectivity issues,High,Online platforms provide access to diverse resources,Laptop
83,Undergraduate,3,Video lectures,Academic workload pressure,Medium,Online platforms provide access to diverse resources,Tablet
84,Postgraduate,4,Practice exercises,Lack of concentration,Low,Online learning is effective for theory-based subjects,Mobile
85,Graduate,5,Reading notes,Academic workload pressure,Low,Online learning is flexible and convenient,Laptop
86,Undergraduate,3,Interactive discussion,Lack of concentration,High,Online platforms provide access to diverse resources,Tablet
87,Undergraduate,4,Video lectures,Internet connectivity issues,Medium,Online learning requires strong self-discipline,Mobile
88,Graduate,6,Video lectures,Internet connectivity issues,High,Online learning is effective for theory-based subjects,Laptop
89,Postgraduate,4,Recorded tutorials,Low motivation,High,Online learning requires strong self-discipline,Laptop
90,Undergraduate,2,Reading notes,Difficulty understanding concepts,High,Online learning is flexible and convenient,Mobile
91,Undergraduate,5,Recorded tutorials,Lack of concentration,Medium,Online platforms provide access to diverse resources,Tablet
92,Undergraduate,2,Practice exercises,Academic workload pressure,High,Online learning requires strong self-discipline,Mobile
93,Undergraduate,3,Reading notes,Low motivation,Medium,Blended learning is more effective than fully online,Laptop
94,Graduate,2,Interactive discussion,Difficulty understanding concepts,Low,Online platforms provide access to diverse resources,Laptop
95,Undergraduate,5,Interactive discussion,Lack of concentration,High,Online learning requires strong self-discipline,Mobile
96,Postgraduate,2,Video lectures,Lack of concentration,Low,Online learning is flexible and convenient,Tablet
97,Graduate,5,Video lectures,Low motivation,High,Online learning is effective for theory-based subjects,Laptop
98,Graduate,4,Practice exercises,Lack of concentration,High,Online platforms provide access to diverse resources,Laptop
99,Postgraduate,6,Reading notes,Low motivation,Low,Online learning is effective for theory-based subjects,Tablet
100,Undergraduate,2,Practice exercises,Difficulty understanding concepts,High,Online learning is effective for theory-based subjects,Mobile
101,Graduate,2,Practice exercises,Time management difficulty,Medium,Online platforms provide access to diverse resources,Tablet
102,Graduate,2,Practice exercises,Time management difficulty,Low,Online platforms provide access to diverse resources,Laptop
103,Undergraduate,4,Reading notes,Time management difficulty,Medium,Blended learning is more effective than fully online,Mobile
104,Postgraduate,1,Recorded tutorials,Lack of concentration,High,Blended learning is more effective than fully online,Laptop
105,Graduate,1,Interactive discussion,Low motivation,High,Online learning is effective for theory-based subjects,Mobile
106,Graduate,4,Video lectures,Lack of concentration,Medium,Blended learning is more effective than fully online,Tablet
107,Graduate,5,Practice exercises,Academic workload pressure,Medium,Online learning is effective for theory-based subjects,Tablet
108,Postgraduate,2,Practice exercises,Lack of concentration,High,Blended learning is more effective than fully online,Laptop
109,Undergraduate,4,Practice exercises,Academic workload pressure,High,Online learning requires strong self-discipline,Mobile
110,Postgraduate,5,Video lectures,Academic workload pressure,Medium,Online platforms provide access to diverse resources,Tablet
111,Graduate,2,Recorded tutorials,Academic workload pressure,Medium,Blended learning is more effective than fully online,Laptop
112,Undergraduate,4,Practice exercises,Lack of concentration,Low,Online learning is flexible and convenient,Mobile
113,Undergraduate,6,Practice exercises,Academic workload pressure,Low,Online learning is flexible and convenient,Laptop
114,Graduate,4,Reading notes,Academic workload pressure,High,Blended learning is more effective than fully online,Mobile
115,Postgraduate,2,Recorded tutorials,Lack of concentration,High,Online learning is effective for theory-based subjects,Mobile
116,Undergraduate,3,Interactive discussion,Internet connectivity issues,Low,Online learning requires strong self-discipline,Laptop
117,Undergraduate,2,Recorded tutorials,Low motivation,Low,Online learning requires strong self-discipline,Laptop
118,Undergraduate,3,Interactive discussion,Academic workload pressure,Medium,Online learning is effective for theory-based subjects,Laptop
119,Graduate,4,Recorded tutorials,Time management difficulty,Low,Online learning is flexible and convenient,Tablet
120,Postgraduate,4,Video lectures,Internet connectivity issues,Medium,Blended learning is more effective than fully online,Mobile
121,Graduate,5,Interactive discussion,Internet connectivity issues,High,Online learning is effective for theory-based subjects,Tablet
122,Graduate,6,Recorded tutorials,Internet connectivity issues,Low,Blended learning is more effective than fully online,Mobile
123,Graduate,4,Practice exercises,Time management difficulty,Medium,Online learning requires strong self-discipline,Laptop
124,Graduate,1,Interactive discussion,Internet connectivity issues,Low,Online learning is flexible and convenient,Laptop
125,Undergraduate,1,Interactive discussion,Time management difficulty,Low,Online platforms provide access to diverse resources,Tablet
126,Undergraduate,3,Practice exercises,Academic workload pressure,Medium,Online learning is effective for theory-based subjects,Tablet
127,Postgraduate,6,Recorded tutorials,Lack of concentration,Medium,Online learning is flexible and convenient,Mobile
128,Graduate,4,Interactive discussion,Academic workload pressure,High,Online learning is flexible and convenient,Mobile
129,Undergraduate,3,Interactive discussion,Difficulty understanding concepts,Medium,Online platforms provide access to diverse resources,Mobile
130,Graduate,3,Recorded tutorials,Low motivation,High,Blended learning is more effective than fully online,Tablet
131,Graduate,5,Interactive discussion,Lack of concentration,Medium,Online platforms provide access to diverse resources,Mobile
132,Undergraduate,1,Video lectures,Difficulty understanding concepts,Low,Online learning is effective for theory-based subjects,Mobile
133,Graduate,1,Practice exercises,Low motivation,Low,Online learning requires strong self-discipline,Mobile
134,Postgraduate,3,Interactive discussion,Time management difficulty,High,Online platforms provide access to diverse resources,Tablet
135,Postgraduate,6,Recorded tutorials,Difficulty understanding concepts,Medium,Online platforms provide access to diverse resources,Tablet
136,Postgraduate,5,Practice exercises,Low motivation,High,Blended learning is more effective than fully online,Mobile
137,Graduate,2,Reading notes,Lack of concentration,High,Blended learning is more effective than fully online,Mobile
138,Graduate,6,Practice exercises,Difficulty understanding concepts,Medium,Online learning is flexible and convenient,Tablet
139,Graduate,5,Interactive discussion,Academic workload pressure,Medium,Online platforms provide access to diverse resources,Tablet
140,Graduate,3,Video lectures,Academic workload pressure,Low,Online learning is flexible and convenient,Laptop
141,Graduate,3,Video lectures,Academic workload pressure,High,Online platforms provide access to diverse resources,Mobile
142,Undergraduate,5,Reading notes,Low motivation,Low,Online learning is flexible and convenient,Mobile
143,Graduate,5,Practice exercises,Difficulty understanding concepts,Low,Online learning is effective for theory-based subjects,Laptop
144,Undergraduate,6,Reading notes,Low motivation,Medium,Blended learning is more effective than fully online,Laptop
145,Graduate,1,Video lectures,Time management difficulty,Medium,Online platforms provide access to diverse resources,Laptop
146,Undergraduate,6,Practice exercises,Lack of concentration,High,Online learning requires strong self-discipline,Mobile
147,Graduate,2,Interactive discussion,Lack of concentration,Medium,Online platforms provide access to diverse resources,Tablet
148,Postgraduate,5,Recorded tutorials,Time management difficulty,Medium,Online learning is effective for theory-based subjects,Laptop
149,Undergraduate,6,Video lectures,Low motivation,Medium,Online learning is flexible and convenient,Laptop
150,Graduate,1,Reading notes,Time management difficulty,High,Online learning requires strong self-discipline,Laptop
151,Graduate,3,Video lectures,Time management difficulty,Low,Online platforms provide access to diverse resources,Mobile
152,Graduate,3,Recorded tutorials,Internet connectivity issues,Medium,Online learning is flexible and convenient,Laptop
153,Undergraduate,4,Video lectures,Time management difficulty,Medium,Online learning is flexible and convenient,Laptop
154,Graduate,3,Practice exercises,Lack of concentration,High,Blended learning is more effective than fully online,Mobile
155,Undergraduate,4,Practice exercises,Internet connectivity issues,Medium,Blended learning is more effective than fully online,Laptop
156,Undergraduate,1,Recorded tutorials,Internet connectivity issues,Medium,Online learning requires strong self-discipline,Mobile
157,Graduate,6,Reading notes,Low motivation,Low,Online learning is flexible and convenient,Mobile
158,Graduate,2,Recorded tutorials,Time management difficulty,Medium,Online learning is flexible and convenient,Laptop
159,Undergraduate,5,Practice exercises,Difficulty understanding concepts,Low,Online learning is effective for theory-based subjects,Laptop
160,Undergraduate,6,Recorded tutorials,Internet connectivity issues,Low,Blended learning is more effective than fully online,Tablet
161,Postgraduate,5,Practice exercises,Academic workload pressure,High,Online learning is effective for theory-based subjects,Tablet
162,Postgraduate,3,Recorded tutorials,Time management difficulty,Medium,Online learning is effective for theory-based subjects,Mobile
163,Undergraduate,1,Recorded tutorials,Lack of concentration,Low,Online platforms provide access to diverse resources,Tablet
164,Undergraduate,3,Interactive discussion,Academic workload pressure,High,Online learning requires strong self-discipline,Tablet
165,Graduate,5,Video lectures,Internet connectivity issues,Medium,Blended learning is more effective than fully online,Mobile
166,Undergraduate,2,Video lectures,Difficulty understanding concepts,Medium,Online platforms provide access to diverse resources,Tablet
167,Undergraduate,3,Practice exercises,Low motivation,High,Online learning is effective for theory-based subjects,Mobile
168,Postgraduate,5,Interactive discussion,Academic workload pressure,Low,Blended learning is more effective than fully online,Mobile
169,Graduate,3,Reading notes,Academic workload pressure,Low,Blended learning is more effective than fully online,Mobile
170,Graduate,3,Reading notes,Difficulty understanding concepts,High,Online learning requires strong self-discipline,Laptop
171,Graduate,2,Recorded tutorials,Low motivation,Medium,Blended learning is more effective than fully online,Laptop
172,Graduate,1,Practice exercises,Difficulty understanding concepts,High,Blended learning is more effective than fully online,Tablet
173,Postgraduate,1,Video lectures,Academic workload pressure,High,Online learning requires strong self-discipline,Mobile
174,Undergraduate,4,Interactive discussion,Internet connectivity issues,Low,Online learning requires strong self-discipline,Mobile
175,Postgraduate,6,Interactive discussion,Low motivation,Low,Online platforms provide access to diverse resources,Tablet
176,Postgraduate,5,Recorded tutorials,Low motivation,Medium,Online platforms provide access to diverse resources,Mobile
177,Postgraduate,3,Video lectures,Academic workload pressure,Medium,Online platforms provide access to diverse resources,Mobile
178,Postgraduate,6,Practice exercises,Internet connectivity issues,High,Online learning is effective for theory-based subjects,Laptop
179,Postgraduate,3,Interactive discussion,Lack of concentration,High,Online learning is effective for theory-based subjects,Laptop
180,Postgraduate,3,Interactive discussion,Internet connectivity issues,Low,Online learning is flexible and convenient,Laptop
181,Undergraduate,5,Video lectures,Difficulty understanding concepts,High,Online learning requires strong self-discipline,Tablet
182,Undergraduate,6,Reading notes,Internet connectivity issues,Medium,Online learning requires strong self-discipline,Tablet
183,Undergraduate,2,Recorded tutorials,Time management difficulty,Low,Blended learning is more effective than fully online,Laptop
184,Postgraduate,4,Reading notes,Lack of concentration,Medium,Online learning is flexible and convenient,Laptop
185,Undergraduate,5,Recorded tutorials,Time management difficulty,Medium,Online learning is effective for theory-based subjects,Tablet
186,Graduate,4,Interactive discussion,Time management difficulty,High,Online learning is effective for theory-based subjects,Laptop
187,Undergraduate,5,Video lectures,Low motivation,Medium,Online learning requires strong self-discipline,Tablet
188,Undergraduate,1,Practice exercises,Time management difficulty,Low,Online platforms provide access to diverse resources,Mobile
189,Postgraduate,4,Reading notes,Internet connectivity issues,Medium,Online learning requires strong self-discipline,Tablet
190,Undergraduate,2,Practice exercises,Time management difficulty,High,Blended learning is more effective than fully online,Laptop
191,Undergraduate,3,Interactive discussion,Academic workload pressure,High,Online learning is effective for theory-based subjects,Mobile
192,Undergraduate,2,Interactive discussion,Lack of concentration,Medium,Online learning is flexible and convenient,Mobile
193,Undergraduate,2,Interactive discussion,Lack of concentration,Low,Online learning is flexible and convenient,Laptop
194,Graduate,3,Practice exercises,Lack of concentration,Low,Online learning requires strong self-discipline,Laptop
195,Undergraduate,3,Recorded tutorials,Difficulty understanding concepts,Medium,Online learning is effective for theory-based subjects,Tablet
196,Undergraduate,4,Video lectures,Internet connectivity issues,Medium,Online platforms provide access to diverse resources,Laptop
197,Postgraduate,5,Interactive discussion,Low motivation,Medium,Online learning is effective for theory-based subjects,Tablet
198,Postgraduate,4,Video lectures,Time management difficulty,Medium,Online learning requires strong self-discipline,Laptop
199,Graduate,6,Recorded tutorials,Lack of concentration,Low,Online learning is flexible and convenient,Laptop
200,Graduate,2,Interactive discussion,Internet connectivity issues,Low,Online learning requires strong self-discipline,Tablet
201,Undergraduate,1,Practice exercises,Academic workload pressure,Medium,Online learning is effective for theory-based subjects,Tablet
202,Undergraduate,5,Reading notes,Internet connectivity issues,Low,Online learning is effective for theory-based subjects,Mobile
203,Postgraduate,3,Video lectures,Difficulty understanding concepts,Medium,Online learning is effective for theory-based subjects,Tablet
204,Postgraduate,2,Reading notes,Low motivation,Medium,Online learning requires strong self-discipline,Tablet
205,Graduate,2,Video lectures,Lack of concentration,High,Online learning is effective for theory-based subjects,Laptop
206,Postgraduate,4,Reading notes,Lack of concentration,Low,Online learning is flexible and convenient,Mobile
207,Undergraduate,1,Recorded tutorials,Academic workload pressure,Medium,Online learning is effective for theory-based subjects,Tablet
208,Graduate,4,Practice exercises,Difficulty understanding concepts,High,Blended learning is more effective than fully online,Tablet
209,Graduate,1,Recorded tutorials,Time management difficulty,High,Online learning is effective for theory-based subjects,Laptop
210,Postgraduate,1,Practice exercises,Difficulty understanding concepts,Medium,Online learning is flexible and convenient,Laptop
211,Undergraduate,3,Reading notes,Time management difficulty,Low,Blended learning is more effective than fully online,Laptop
212,Undergraduate,4,Practice exercises,Difficulty understanding concepts,High,Blended learning is more effective than fully online,Laptop
213,Postgraduate,5,Reading notes,Difficulty understanding concepts,High,Blended learning is more effective than fully online,Tablet
214,Undergraduate,6,Practice exercises,Lack of concentration,High,Online learning is flexible and convenient,Mobile
215,Graduate,1,Reading notes,Lack of concentration,Medium,Online learning is flexible and convenient,Laptop
216,Graduate,1,Practice exercises,Academic workload pressure,Low,Blended learning is more effective than fully online,Tablet
217,Graduate,6,Interactive discussion,Academic workload pressure,Low,Online learning is flexible and convenient,Laptop
218,Graduate,5,Recorded tutorials,Academic workload pressure,Low,Online learning requires strong self-discipline,Tablet
219,Postgraduate,4,Video lectures,Lack of concentration,Medium,Online learning is flexible and convenient,Mobile
220,Undergraduate,3,Recorded tutorials,Difficulty understanding concepts,Medium,Online learning is flexible and convenient,Tablet
221,Undergraduate,3,Reading notes,Low motivation,High,Online learning requires strong self-discipline,Laptop
222,Postgraduate,6,Practice exercises,Low motivation,Medium,Blended learning is more effective than fully online,Mobile
223,Postgraduate,1,Video lectures,Internet connectivity issues,Low,Blended learning is more effective than fully online,Tablet
224,Postgraduate,3,Interactive discussion,Low motivation,Medium,Online platforms provide access to diverse resources,Tablet
225,Graduate,6,Video lectures,Low motivation,Low,Online learning is flexible and convenient,Tablet
226,Undergraduate,1,Interactive discussion,Difficulty understanding concepts,Medium,Online learning is flexible and convenient,Tablet
227,Undergraduate,6,Practice exercises,Internet connectivity issues,Low,Online learning is effective for theory-based subjects,Mobile
228,Postgraduate,6,Video lectures,Low motivation,Medium,Online learning is effective for theory-based subjects,Laptop
229,Postgraduate,4,Video lectures,Difficulty understanding concepts,High,Online learning requires strong self-discipline,Mobile
230,Graduate,6,Interactive discussion,Internet connectivity issues,Medium,Blended learning is more effective than fully online,Mobile
231,Postgraduate,5,Video lectures,Lack of concentration,Medium,Online learning is effective for theory-based subjects,Laptop
232,Postgraduate,4,Interactive discussion,Internet connectivity issues,High,Online platforms provide access to diverse resources,Mobile
233,Graduate,4,Interactive discussion,Difficulty understanding concepts,High,Online platforms provide access to diverse resources,Tablet
234,Postgraduate,5,Reading notes,Difficulty understanding concepts,Medium,Online learning is effective for theory-based subjects,Tablet
235,Undergraduate,1,Reading notes,Time management difficulty,Low,Online learning is effective for theory-based subjects,Mobile
236,Graduate,1,Reading notes,Low motivation,Low,Online platforms provide access to diverse resources,Laptop
237,Undergraduate,6,Reading notes,Internet connectivity issues,High,Online platforms provide access to diverse resources,Tablet
238,Undergraduate,6,Video lectures,Internet connectivity issues,Low,Blended learning is more effective than fully online,Laptop
239,Postgraduate,2,Practice exercises,Academic workload pressure,Medium,Online learning requires strong self-discipline,Mobile
240,Graduate,6,Interactive discussion,Lack of concentration,Low,Online learning is effective for theory-based subjects,Laptop
241,Postgraduate,3,Interactive discussion,Lack of concentration,High,Online learning requires strong self-discipline,Mobile
242,Undergraduate,5,Video lectures,Time management difficulty,Medium,Online learning is flexible and convenient,Laptop
243,Undergraduate,4,Reading notes,Time management difficulty,Medium,Online learning is flexible and convenient,Tablet
244,Graduate,1,Practice exercises,Internet connectivity issues,High,Online learning is effective for theory-based subjects,Tablet
245,Undergraduate,5,Reading notes,Time management difficulty,Medium,Online learning is flexible and convenient,Tablet
246,Undergraduate,1,Interactive discussion,Academic workload pressure,Medium,Blended learning is more effective than fully online,Tablet
247,Graduate,1,Reading notes,Low motivation,High,Online learning is effective for theory-based subjects,Laptop
248,Postgraduate,3,Practice exercises,Academic workload pressure,Low,Online learning is effective for theory-based subjects,Tablet
249,Undergraduate,5,Video lectures,Time management difficulty,Medium,Online learning is effective for theory-based subjects,Laptop
250,Postgraduate,5,Video lectures,Lack of concentration,Low,Online learning is effective for theory-based subjects,Laptop
251,Undergraduate,4,Video lectures,Academic workload pressure,Medium,Online platforms provide access to diverse resources,Tablet
252,Graduate,3,Reading notes,Lack of concentration,Medium,Online platforms provide access to diverse resources,Laptop
253,Undergraduate,4,Video lectures,Lack of concentration,Low,Online learning requires strong self-discipline,Tablet
254,Graduate,2,Video lectures,Lack of concentration,Medium,Online platforms provide access to diverse resources,Tablet
255,Graduate,4,Video lectures,Time management difficulty,High,Online learning is effective for theory-based subjects,Laptop
256,Postgraduate,3,Reading notes,Difficulty understanding concepts,Low,Online learning is effective for theory-based subjects,Tablet
257,Undergraduate,4,Reading notes,Low motivation,Low,Online learning is effective for theory-based subjects,Tablet
258,Postgraduate,4,Practice exercises,Time management difficulty,High,Blended learning is more effective than fully online,Laptop
259,Undergraduate,4,Video lectures,Difficulty understanding concepts,Low,Online learning requires strong self-discipline,Mobile
260,Graduate,3,Practice exercises,Time management difficulty,Low,Online learning is flexible and convenient,Laptop
261,Postgraduate,5,Interactive discussion,Difficulty understanding concepts,High,Online platforms provide access to diverse resources,Mobile
262,Graduate,1,Interactive discussion,Academic workload pressure,Medium,Online learning is flexible and convenient,Laptop
263,Graduate,2,Video lectures,Lack of concentration,High,Blended learning is more effective than fully online,Tablet
264,Undergraduate,3,Recorded tutorials,Academic workload pressure,Low,Online learning requires strong self-discipline,Tablet
265,Undergraduate,2,Interactive discussion,Lack of concentration,Low,Online platforms provide access to diverse resources,Mobile
266,Undergraduate,1,Recorded tutorials,Low motivation,High,Online platforms provide access to diverse resources,Tablet
267,Postgraduate,1,Reading notes,Low motivation,Medium,Online learning is effective for theory-based subjects,Laptop
268,Graduate,3,Video lectures,Lack of concentration,High,Online learning is flexible and convenient,Mobile
269,Postgraduate,1,Practice exercises,Low motivation,Medium,Blended learning is more effective than fully online,Mobile
270,Graduate,6,Reading notes,Difficulty understanding concepts,Low,Online platforms provide access to diverse resources,Mobile
271,Postgraduate,4,Practice exercises,Difficulty understanding concepts,Medium,Online platforms provide access to diverse resources,Tablet
272,Undergraduate,2,Reading notes,Time management difficulty,Low,Online learning is effective for theory-based subjects,Mobile
273,Graduate,6,Video lectures,Internet connectivity issues,Low,Online learning is effective for theory-based subjects,Mobile
274,Graduate,6,Reading notes,Difficulty understanding concepts,Low,Online learning is flexible and convenient,Mobile
275,Postgraduate,6,Practice exercises,Difficulty understanding concepts,Medium,Blended learning is more effective than fully online,Laptop
276,Undergraduate,6,Interactive discussion,Academic workload pressure,Low,Online learning is flexible and convenient,Laptop
277,Postgraduate,5,Video lectures,Lack of concentration,Medium,Blended learning is more effective than fully online,Tablet
278,Undergraduate,5,Interactive discussion,Time management difficulty,High,Blended learning is more effective than fully online,Tablet
279,Postgraduate,5,Recorded tutorials,Time management difficulty,High,Online platforms provide access to diverse resources,Tablet
280,Postgraduate,2,Recorded tutorials,Difficulty understanding concepts,Medium,Blended learning is more effective than fully online,Mobile
281,Undergraduate,4,Video lectures,Lack of concentration,High,Online learning is effective for theory-based subjects,Laptop
282,Graduate,4,Interactive discussion,Difficulty understanding concepts,Low,Online platforms provide access to diverse resources,Laptop
283,Postgraduate,4,Reading notes,Time management difficulty,High,Blended learning is more effective than fully online,Tablet
284,Graduate,2,Practice exercises,Internet connectivity issues,Low,Online learning is flexible and convenient,Tablet
